frag,hist,symb,temp,parent
1,B,C,31º,11
2,B,C,31º,11
3,B,C,31º,11
4,B,C,31º,11
5,B,C,31º,19
6,B,C,31º,19
7,B,C,31º,19
8,B,C,31º,19
9,B,C,31º,201
10,B,C,31º,201
11,B,C,31º,201
12,B,C,31º,201
13,B,C,31º,203
14,B,C,31º,203
15,B,C,31º,203
16,B,C,31º,203
17,B,C,31º,211
18,B,C,31º,211
19,B,C,31º,211
20,B,C,31º,211
21,NB,C,31º,6
22,NB,C,31º,6
23,NB,C,31º,6
24,NB,C,31º,6
25,NB,C,31º,206
26,NB,C,31º,206
27,NB,C,31º,206
28,NB,C,31º,206
29,NB,C,31º,208
30,NB,C,31º,208
31,NB,C,31º,208
32,NB,C,31º,208
33,NB,C,31º,210
34,NB,C,31º,210
35,NB,C,31º,210
36,NB,C,31º,210
49,NB,D,31º,12
50,NB,D,31º,12
51,NB,D,31º,12
52,NB,D,31º,12
53,NB,D,31º,20
54,NB,D,31º,20
55,NB,D,31º,20
56,NB,D,31º,20
57,NB,D,31º,202
58,NB,D,31º,202
59,NB,D,31º,202
60,NB,D,31º,202
61,NB,D,31º,214
62,NB,D,31º,214
63,NB,D,31º,214
64,NB,D,31º,214
65,NB,D,31º,222
66,NB,D,31º,222
67,NB,D,31º,222
68,NB,D,31º,222
69,B,C,28º,11
70,B,C,28º,11
71,B,C,28º,11
72,B,C,28º,11
73,B,C,28º,19
74,B,C,28º,19
75,B,C,28º,19
76,B,C,28º,19
77,B,C,28º,201
78,B,C,28º,201
79,B,C,28º,201
80,B,C,28º,201
81,B,C,28º,203
82,B,C,28º,203
83,B,C,28º,203
84,B,C,28º,203
85,B,C,28º,211
86,B,C,28º,211
87,B,C,28º,211
88,B,C,28º,211
89,NB,C,28º,6
90,NB,C,28º,6
91,NB,C,28º,6
92,NB,C,28º,6
93,NB,C,28º,206
94,NB,C,28º,206
95,NB,C,28º,206
96,NB,C,28º,206
97,NB,C,28º,208
98,NB,C,28º,208
99,NB,C,28º,208
100,NB,C,28º,208
101,NB,C,28º,210
102,NB,C,28º,210
103,NB,C,28º,210
104,NB,C,28º,210
117,NB,D,28º,12
118,NB,D,28º,12
119,NB,D,28º,12
120,NB,D,28º,12
121,NB,D,28º,20
122,NB,D,28º,20
123,NB,D,28º,20
124,NB,D,28º,20
125,NB,D,28º,202
126,NB,D,28º,202
127,NB,D,28º,202
128,NB,D,28º,202
129,NB,D,28º,214
130,NB,D,28º,214
131,NB,D,28º,214
132,NB,D,28º,214
133,NB,D,28º,222
134,NB,D,28º,222
135,NB,D,28º,222
136,NB,D,28º,222