airbrush.date,date.airbrushed,colony,location,temp,history,symb,hist_symb,timepoint,prot_cm2,symb_cm2,symb_ugprot,totalchl_cm2,totalchl_symb,symb_pHi_basal,symb_13C,host_13C,NP_cm2,GP_cm2,R_cm2,alpha,calcif.pg.d.cm^2,GP_persymb,host13C_persymb,GP_ugprot,NP_ugprot,NP_persymb,treatment,P.R,lipids.mg.cm2,eDHW,symb_nprot,delta13C,symb_13C_APE,host_13C_APE
"Friday, February 21, 2020",c,11,b,31¡,B,C,BC,Acute stress,354.5028046,629792.4514,1776.551393,9.605825672,1.53E-05,NA,1.11315,1.09973,0.09186352,0.124688683,0.032825163,0.000223519,0.003082079,1.98E-07,1.75E-06,0.000351728,0.000259133,1.46E-07,Acute 31¡,3.798570109,0.088198282,5.452579365,1.776551393,0.01342,0.024443,0.010947
"Thursday, February 27, 2020",d,12,b,31¡,NB,D,NBD,Acute stress,435.933367,1924435.3,4414.517092,11.04698985,5.74E-06,NA,1.11191,1.09847,0.091318523,0.118893616,0.027575093,0.000176817,0.004306625,6.18E-08,5.71E-07,0.000272733,0.000209478,4.75E-08,Acute 31¡,4.311630644,0.541530402,5.452579365,4.414517092,0.01344,0.023203,0.009687
"Wednesday, December 1, 2021",k,19,c,31¡,B,C,BC,Acute stress,405.6650365,2480077.235,6113.608549,13.35781782,6.54E-06,NA,1.127679908,1.101411268,0.070881817,0.083979617,0.0130978,0.000215956,0.002691171,4.39E-08,NA,0.000207017,0.00017473,3.71E-08,Acute 31¡,6.411734566,1.162311922,5.452579365,6.113608549,0.02626864,0.038972908,0.012628268
"Friday, February 21, 2020",c,20,c,31¡,NB,D,NBD,Acute stress,287.4313138,1008285.371,3507.917622,6.703638652,6.65E-06,NA,1.11432,1.09146,0.052935228,0.07039785,0.017462622,0.00014911,0.003283837,6.98E-08,1.08E-06,0.000244921,0.000184167,5.25E-08,Acute 31¡,4.031344777,0.459593091,5.452579365,3.507917622,0.02286,0.025613,0.002677
"Thursday, February 6, 2020",a,202,d,31¡,NB,D,NBD,Acute stress,327.9633356,1222507.28,3727.573017,4.558893013,3.73E-06,NA,1.11711,1.09241,0.112739025,0.141665852,0.028926826,0.00018909,0.002626399,1.16E-07,8.94E-07,0.000431956,0.000343755,9.22E-08,Acute 31¡,4.897386668,0.107903575,5.452579365,3.727573017,0.0247,0.028403,0.003627
"Thursday, February 6, 2020",a,203,e,31¡,B,C,BC,Acute stress,389.4139398,1902692.846,4886.04195,5.631777177,2.96E-06,NA,1.13945,1.09486,0.091490881,0.118333064,0.026842183,0.000231027,0.002991886,6.22E-08,5.75E-07,0.000303875,0.000234945,4.81E-08,Acute 31¡,4.408473931,0.083623441,5.452579365,4.88604195,0.04459,0.050743,0.006077
"Wednesday, December 1, 2021",k,211,i,31¡,B,C,BC,Acute stress,620.1064015,2485761.068,4008.604108,12.84443,6.32E-06,NA,1.120879061,1.097405346,0.10252418,0.128890977,0.026366797,0.000208343,0.004055189,6.34E-08,NA,0.000207853,0.000165333,5.05E-08,Acute 31¡,4.888382044,1.302259295,5.452579365,4.008604108,0.023473715,0.032172061,0.008622346
"Thursday, February 20, 2020",b,214,j,31¡,NB,D,NBD,Acute stress,509.6491898,2145172.147,4209.115192,6.622209662,3.09E-06,NA,1.097975,1.09176,0.098999744,0.126334702,0.027334958,0.000264705,0.00272788,5.89E-08,5.09E-07,0.000247886,0.000194251,4.62E-08,Acute 31¡,4.621726582,1.177554474,5.452579365,4.209115192,0.006215,0.009268,0.002977
"Thursday, February 20, 2020",b,222,k,31¡,NB,D,NBD,Acute stress,282.4586407,1117139.761,3955.056068,11.07275629,9.91E-06,NA,1.11712,1.0953,0.063172072,0.08358804,0.020415968,0.000130828,0.002701156,7.48E-08,9.80E-07,0.00029593,0.000223651,5.65E-08,Acute 31¡,4.094248188,0.071854628,5.452579365,3.955056068,0.02182,0.028413,0.006517
"Friday, February 28, 2020",e,11,b,28¡,B,C,BC,Acute stress,793.590389,2137158.652,2693.024867,15.32846906,7.17E-06,NA,1.11908,1.10774,0.106341033,0.128905221,0.022564188,0.000248002,0.004306625,6.03E-08,5.18E-07,0.000162433,0.000134,4.98E-08,June ambient,5.712823391,0.114620123,0.428323413,2.693024867,0.01134,0.030373,0.018957
"Wednesday, December 1, 2021",k,12,b,28¡,NB,D,NBD,Acute stress,236.8064718,1668168.841,7044.439405,10.67881814,6.40E-06,NA,1.11179548,1.104862927,0.091226049,0.113416589,0.022190539,0.000183708,0.004682213,6.80E-08,NA,0.000478942,0.000385235,5.47E-08,June ambient,5.111033536,0.314053024,0.428323413,7.044439405,0.006932553,0.02308848,0.016079927
"Friday, February 28, 2020",e,19,c,28¡,B,C,BC,Acute stress,515.1551166,2116814.785,4109.082327,23.22367027,1.10E-05,NA,1.12318,1.10726,0.132846857,0.156904392,0.024057534,0.000326043,0.003283837,7.41E-08,5.23E-07,0.000304577,0.000257877,6.28E-08,June ambient,6.52204802,0.139817336,0.428323413,4.109082327,0.01592,0.034473,0.018477
"Thursday, February 20, 2020",b,20,c,28¡,NB,D,NBD,Acute stress,293.1204356,1187433.265,4051.008121,13.87359952,1.17E-05,NA,1.12096,1.09901,0.101787399,0.122885876,0.021098477,0.000338905,0.004682213,1.03E-07,9.26E-07,0.000419233,0.000347255,8.57E-08,June ambient,5.824395571,NA,0.428323413,4.051008121,0.02195,0.032253,0.010227
"Friday, February 21, 2020",c,201,d,28¡,B,C,BC,Acute stress,218.2397975,858306.1294,3932.857982,11.30792207,1.32E-05,NA,1.11869,1.10439,0.073152607,0.09167379,0.018521183,0.00018063,0.002626399,1.07E-07,1.29E-06,0.00042006,0.000335194,8.52E-08,June ambient,4.949672491,0.028638803,0.428323413,3.932857982,0.0143,0.029983,0.015607
"Thursday, February 6, 2020",a,202,d,28¡,NB,D,NBD,Acute stress,411.5181406,2737572.288,6652.373293,10.33148461,3.77E-06,NA,1.13443,1.10301,0.126515742,0.145147545,0.018631804,0.000513477,0.004465267,5.30E-08,4.03E-07,0.000352712,0.000307437,4.62E-08,June ambient,7.790310858,0.199982354,0.428323413,6.652373293,0.03142,0.045723,0.014227
"Thursday, February 27, 2020",d,203,e,28¡,B,C,BC,Acute stress,456.7388215,2022888.556,4428.983176,11.4457141,5.66E-06,NA,1.13597,1.10325,0.09258939,0.114494182,0.021904792,0.000267145,0.005289796,5.66E-08,5.45E-07,0.000250678,0.000202718,4.58E-08,June ambient,5.226901127,0.098383713,0.428323413,4.428983176,0.03272,0.047263,0.014467
"Friday, February 28, 2020",e,211,i,28¡,B,C,BC,Acute stress,824.7754628,1745435.973,2116.255941,14.37436707,8.24E-06,NA,1.11542,1.10627,0.101985642,0.116958566,0.014972924,0.000357765,0.004231916,6.70E-08,6.34E-07,0.000141807,0.000123653,5.84E-08,June ambient,7.811337719,0.471735104,0.428323413,2.116255941,0.00915,0.026713,0.017487
"Friday, February 21, 2020",c,214,j,28¡,NB,D,NBD,Acute stress,534.3660343,2886009.18,5400.809548,12.30288734,4.26E-06,NA,1.12247,1.09989,0.130293552,0.156335403,0.026041851,0.000317953,0.004145884,5.42E-08,3.81E-07,0.000292562,0.000243828,4.51E-08,June ambient,6.003236982,0.109731052,0.428323413,5.400809548,0.02258,0.033763,0.011107
"Thursday, February 27, 2020",d,222,k,28¡,NB,D,NBD,Acute stress,285.945907,1892544.517,6618.540328,12.77137043,6.75E-06,NA,1.12079,1.09894,0.09014207,0.114223324,0.024081255,0.000299413,0.002415997,6.04E-08,5.81E-07,0.000399,0.000315,4.76E-08,June ambient,4.743246313,0.915719045,0.428323413,6.618540328,0.02185,0.032083,0.010157
"Tuesday, October 13, 2020",j,11,b,31¡,B,C,BC,Initial recovery,372.3807825,992292.6462,2664.725713,6.378077667,6.43E-06,8.198469673,1.12057,1.09921,0.065723663,0.083084217,0.017360554,0.000230725,0.001553165,8.37E-08,1.11E-06,0.000223116,0.000176496,6.62E-08,31¡-28¡,4.785804474,0.057216387,7.0053,2.664725713,0.02136,0.031863,0.010427
"Monday, September 7, 2020",f,12,b,31¡,NB,D,NBD,Initial recovery,176.0047259,258456.3939,1468.462808,3.685060337,1.43E-05,NA,1.10457,1.09549,0.034109506,0.046732739,0.012623233,7.68E-05,0.00153872,1.81E-07,4.24E-06,0.00026552,0.000193799,1.32E-07,31¡-28¡,3.702121239,0.0620452,7.0053,1.468462808,0.00908,0.015863,0.006707
"Friday, September 25, 2020",h,19,c,31¡,B,C,BC,Initial recovery,510.1451474,1541589.509,3021.864498,13.86771935,9.00E-06,NA,1.12795,1.09858,0.13863595,0.168070053,0.029434103,0.000262206,0.001778544,1.09E-07,7.13E-07,0.000329455,0.000271758,8.99E-08,31¡-28¡,5.710045011,0.108558594,7.0053,3.021864498,0.02937,0.039243,0.009797
"Wednesday, September 16, 2020",g,20,c,31¡,NB,D,NBD,Initial recovery,443.0929918,2116986.37,4777.747355,6.085096115,2.87E-06,7.598463658,1.12416,1.0933,0.130903017,0.161274664,0.030371647,0.000387102,0.00272833,7.62E-08,5.16E-07,0.000363975,0.00029543,6.18E-08,31¡-28¡,5.310040117,0.51905172,7.0053,4.777747355,0.03086,0.035453,0.004517
"Friday, September 25, 2020",h,202,d,31¡,NB,D,NBD,Initial recovery,329.8354516,1922314.993,5828.103023,8.518009864,4.43E-06,7.457288112,1.12513,1.09794,0.065382423,0.075079146,0.009696723,0.000104923,0.001741177,3.91E-08,5.71E-07,0.000227626,0.000198227,3.40E-08,31¡-28¡,7.742733911,0.07655695,7.0053,5.828103023,0.02719,0.036423,0.009157
"Wednesday, September 16, 2020",g,203,e,31¡,B,C,BC,Initial recovery,458.39877,1306239.672,2849.57063,5.145458206,3.94E-06,8.029948378,1.13864,1.09804,0.107298931,0.136730341,0.029431409,0.000313728,0.002719431,1.05E-07,8.41E-07,0.000298278,0.000234073,8.21E-08,31¡-28¡,4.645728684,0.081610089,7.0053,2.84957063,0.0406,0.049933,0.009257
"Monday, September 7, 2020",f,211,i,31¡,B,C,BC,Initial recovery,413.0637948,246435.7975,596.6046907,4.296123605,1.74E-05,NA,1.10528,1.098185,0.070612587,0.0802872,0.009674613,0.000234923,0.00144679,3.26E-07,4.46E-06,0.00019437,0.000170948,2.87E-07,31¡-28¡,8.298750555,0.085720735,7.0053,0.596604691,0.007095,0.016573,0.009402
"Wednesday, September 16, 2020",g,214,j,31¡,NB,D,NBD,Initial recovery,500.4757434,2696826.922,5388.526732,1.328482001,3.07E-06,7.354837934,1.13043,1.09819,0.208947462,0.271675196,0.062727734,0.000675851,0.003100512,1.01E-07,4.07E-07,0.000542834,0.000417498,7.75E-08,31¡-28¡,4.331022001,0.060847962,7.0053,5.388526732,0.03224,0.041723,0.009407
"Monday, September 7, 2020",f,222,k,31¡,NB,D,NBD,Initial recovery,766.3225538,2040167.375,2662.282827,8.46934238,4.15E-06,7.253060876,1.11629,1.09599,0.10104545,0.134649378,0.033603928,0.000244192,0.000662335,6.60E-08,5.37E-07,0.000175708,0.000131858,4.95E-08,31¡-28¡,4.006953532,0.211371716,7.0053,2.662282827,0.0203,0.027583,0.007207
"Tuesday, October 13, 2020",j,11,b,28¡,B,C,BC,Initial recovery,308.8447749,1482167.178,4799.06833,10.64941692,7.19E-06,7.849827524,1.12587,1.0991,0.083490488,0.101600574,0.0181,0.000234831,0.001423326,6.85E-08,7.42E-07,0.00032897,0.000270332,5.63E-08,July ambient,5.613291381,0.081964888,1.558318651,4.79906833,0.02677,0.037163,0.010317
"Friday, September 25, 2020",h,12,b,28¡,NB,D,NBD,Initial recovery,424.1071879,1860140.653,7855.109022,8.432747951,5.74E-06,8.016002907,1.11635,1.09993,0.08848657,0.110637793,0.022151223,0.000176874,0.002305849,2.24E-07,2.23E-06,0.000260872,0.000208642,1.79E-07,July ambient,4.994658444,0.088077292,1.558318651,7.855109022,0.01642,0.027643,0.011147
"Sunday, October 4, 2020",i,19,c,28¡,B,C,BC,Initial recovery,591.7800651,2267396.9,3831.485772,18.47648662,8.15E-06,8.648935452,1.13762,1.100535,0.121238207,0.149612949,0.028374742,0.000413556,0.001770944,6.60E-08,4.85E-07,0.000252819,0.00020487,5.35E-08,July ambient,5.272750991,0.537903741,1.558318651,3.831485772,0.037085,0.048913,0.011752
"Sunday, October 4, 2020",i,20,c,28¡,NB,D,NBD,Initial recovery,408.2330057,2933673.89,7186.273157,11.38506493,3.88E-06,7.598463658,1.13392,1.10055,0.091634112,0.112579476,0.020945364,0.0003346,0.002532297,3.84E-08,3.75E-07,0.000275773,0.000224465,3.12E-08,July ambient,5.374911412,0.025588637,1.558318651,7.186273157,0.03337,0.045213,0.011767
"Tuesday, October 13, 2020",j,201,d,28¡,B,C,BC,Initial recovery,675.8143156,1346456.727,1992.347152,8.664860729,6.44E-06,7.811148168,1.12305,1.09895,0.136207285,0.163483519,0.027276234,0.000274734,0.001947941,1.21E-07,8.16E-07,0.000241906,0.000201545,1.01E-07,July ambient,5.993625036,0.099449407,1.558318651,1.992347152,0.0241,0.034343,0.010167
"Sunday, October 4, 2020",i,202,d,28¡,NB,D,NBD,Initial recovery,369.278409,1869314.041,5062.072396,4.935708315,2.64E-06,7.692794486,1.12393,1.096,0.111253111,0.142537034,0.031283923,0.000344854,0.003410566,7.63E-08,5.86E-07,0.000385988,0.000301272,5.95E-08,July ambient,4.556239126,0.058026601,1.558318651,5.062072396,0.02793,0.035223,0.007217
"Sunday, October 4, 2020",i,203,e,28¡,B,C,BC,Initial recovery,621.8970531,3979933.976,6399.666884,12.25406218,3.08E-06,7.797517708,1.13216,1.09821,0.116218181,0.133735968,0.017517786,0.000272022,0.002103629,3.36E-08,2.76E-07,0.000215045,0.000186877,2.92E-08,July ambient,7.634296252,0.132683049,1.558318651,6.399666884,0.03395,0.043453,0.009427
"Monday, September 7, 2020",f,211,i,28¡,B,C,BC,Initial recovery,232.3677662,1011892.352,4354.701894,11.06980535,1.09E-05,7.957513346,1.14731,1.10196,0.105795189,0.105795189,NA,0.000251444,0.002254501,1.05E-07,1.09E-06,0.000455292,0.000455292,1.05E-07,July ambient,NA,0.105575368,1.558318651,4.354701894,0.04535,0.058603,0.013177
"Friday, September 25, 2020",h,214,j,28¡,NB,D,NBD,Initial recovery,545.0809639,476650.2525,874.457712,8.977472899,1.88E-05,7.803413477,1.12912,1.10062,0.090378607,0.111668039,0.021289432,0.000210784,0.001058396,2.34E-07,2.31E-06,0.000204865,0.000165808,1.90E-07,July ambient,5.245233363,0.092855402,1.558318651,0.874457712,0.0285,0.040413,0.011837
"Wednesday, September 16, 2020",g,222,k,28¡,NB,D,NBD,Initial recovery,150.3443374,982291.0228,6533.608382,3.345435538,3.41E-06,7.405708243,1.12313,1.09654,0.038491637,0.050150522,0.011658885,0.000122824,0.000696841,5.11E-08,1.12E-06,0.000333571,0.000256023,3.92E-08,July ambient,4.301485262,0.027868679,1.558318651,6.533608382,0.02659,0.034423,0.007757
"Thursday, February 20, 2020",b,201,d,31¡,B,C,BC,Acute stress,469.313428,221747.0286,472.4924014,8.887478828,4.01E-05,NA,1.1091,1.09741,0.10066571,0.116538712,0.015873002,0.00018113,0.003624013,7.16E-08,4.95E-06,3.38E-05,0.000248317,5.26E-07,Acute 31¡,7.341945273,0.76076259,1.558318651,0.472492401,0.01169,0.020393,0.008627
"Wednesday, September 16, 2020",g,201,d,31¡,B,C,BC,Initial recovery,272.0258137,16992.71558,62.46729068,0.373367685,2.20E-05,NA,1.09292,1.09006,0.028455074,0.041554075,0.013099001,3.39E-05,0.001835441,2.45E-06,6.41E-05,0.000152758,0.000104604,1.67E-06,31¡-28¡,3.172308713,NA,1.558318651,0.062467291,0.00286,0.004213,0.001277