Date,treatment,Mean,Max,Min,total_days,over_28,7.23.19_DHW,6.28.19_DHW,cumul_eDHW,over_28_degrees_over29,cumul_eDHW_meanover29
6/14/19,heat,29.13541667,30.5,27.7,0,1.135416667,,,0.162202381,1.135416667,0.162202381
6/15/19,heat,30.13888889,31.16666667,28.93333333,1,2.138888889,,,0.467757937,2.138888889,0.467757937
6/16/19,heat,30.31631944,31.1,29.5,2,2.316319444,,,0.798660714,2.316319444,0.798660714
6/17/19,heat,30.33680556,31.06666667,29.46666667,3,2.336805556,,,1.132490079,2.336805556,1.132490079
6/18/19,heat,30.35659722,31.13333333,29.56666667,4,2.356597222,,,1.469146825,2.356597222,1.469146825
6/19/19,heat,30.33229167,31.06666667,29.53333333,5,2.332291667,,,1.802331349,2.332291667,1.802331349
6/20/19,heat,30.31805556,31.03333333,29.5,6,2.318055556,,,2.133482143,2.318055556,2.133482143
6/21/19,heat,30.30277778,31,29.5,7,2.302777778,,,2.462450397,2.302777778,2.462450397
6/22/19,heat,30.83159722,32.03333333,29.5,8,2.831597222,,,2.866964286,2.831597222,2.866964286
6/23/19,heat,31.23993056,32.03333333,30.16666667,9,3.239930556,,,3.329811508,3.239930556,3.329811508
6/24/19,heat,31.27048611,32,30.46666667,10,3.270486111,,,3.79702381,3.270486111,3.79702381
6/25/19,heat,31.29513889,32.06666667,30.5,11,3.295138889,,,4.267757937,3.295138889,4.267757937
6/26/19,heat,31.26736111,32.03333333,30.43333333,12,3.267361111,,,4.73452381,3.267361111,4.73452381
6/27/19,heat,31.26666667,32.06666667,30.43333333,13,3.266666667,,,5.201190476,3.266666667,5.201190476
6/28/19,heat,29.75972222,31.63333333,27.8,14,1.759722222,,5.452579365,5.452579365,1.759722222,5.452579365
6/29/19,heat,28.07673611,28.7,27.76666667,15,0.076736111,,,5.463541667,0,5.452579365
6/30/19,heat,28.06279762,28.66666667,27.66666667,16,0.062797619,,,5.472512755,0,5.452579365
7/1/19,heat,28.04548611,28.63333333,27.6,17,0.045486111,,,5.479010771,0,5.452579365
7/2/19,heat,28.303125,28.73333333,27.93333333,18,0.303125,,,5.522314343,0,5.452579365
7/3/19,heat,28.15729167,28.86666667,27.7,19,0.157291667,,,5.544784581,0,5.452579365
7/4/19,heat,28.26875,28.53333333,28.1,20,0.26875,,,5.583177438,0,5.452579365
7/5/19,heat,28.30659722,28.96666667,27.86666667,21,0.306597222,,,5.626977041,0,5.452579365
7/6/19,heat,28.62743056,29.46666667,28.06666667,22,0.627430556,,,5.716609978,0,5.452579365
7/7/19,heat,28.54097222,29.03333333,28.33333333,23,0.540972222,,,5.793891724,0,5.452579365
7/8/19,heat,28.33402778,28.8,28.03333333,24,0.334027778,,,5.841609978,0,5.452579365
7/9/19,heat,28.58680556,29.16666667,28.06666667,25,0.586805556,,,5.925439343,0,5.452579365
7/10/19,heat,28.78472222,29.3,28.43333333,26,0.784722222,,,6.037542517,0,5.452579365
7/11/19,heat,28.68472222,29.03333333,28.5,27,0.684722222,,,6.135359978,0,5.452579365
7/12/19,heat,28.59027778,29.03333333,28.26666667,28,0.590277778,,,6.219685374,0,5.452579365
7/13/19,heat,28.47291667,29,28.06666667,29,0.472916667,,,6.287244898,0,5.452579365
7/14/19,heat,28.44479167,28.86666667,28.13333333,30,0.444791667,,,6.350786565,0,5.452579365
7/15/19,heat,28.51354167,28.96666667,28.1,31,0.513541667,,,6.42414966,0,5.452579365
7/16/19,heat,28.57916667,29.1,28.1,32,0.579166667,,,6.506887756,0,5.452579365
7/17/19,heat,28.36215278,28.7,27.9,33,0.362152778,,,6.558623867,0,5.452579365
7/18/19,heat,28.21006944,28.6,27.86666667,34,0.210069444,,,6.588633787,0,5.452579365
7/19/19,heat,28.22291667,28.63333333,27.96666667,35,0.222916667,,,6.620479025,0,5.452579365
7/20/19,heat,28.16111111,28.5,27.86666667,36,0.161111111,,,6.643494898,0,5.452579365
7/21/19,heat,28.17256944,28.6,27.8,37,0.172569444,,,6.668147676,0,5.452579365
7/22/19,heat,28.10069444,28.63333333,27.8,38,0.100694444,,,6.682532597,0,5.452579365
7/23/19,heat,28.04131944,28.5,27.7,39,0.041319444,6.688435374,,6.688435374,0,5.452579365
7/24/19,heat,28.13819444,28.76666667,27.73333333,40,0.138194444,,,6.708177438,0,5.452579365
7/25/19,heat,28.07083333,28.53333333,27.76666667,41,0.070833333,,,6.718296485,0,5.452579365
7/26/19,heat,28.07256944,28.66666667,27.73333333,42,0.072569444,,,6.728663549,0,5.452579365
7/27/19,heat,28.09131944,28.66666667,27.7,43,0.091319444,,,6.741709184,0,5.452579365
7/28/19,heat,28.08333333,28.63333333,27.7,44,0.083333333,,,6.753613946,0,5.452579365
7/29/19,heat,28.10833333,28.66666667,27.63333333,45,0.108333333,,,6.769090136,0,5.452579365
7/30/19,heat,28.08368056,28.6,27.7,46,0.083680556,,,6.781044501,0,5.452579365
7/31/19,heat,28.06901408,28.66666667,27.76666667,47,0.069014085,,,6.790903656,0,5.452579365
6/14/19,ambient,28.33194444,29.16666667,27.53333333,0,0.331944444,,,0.047420635,0,0
6/15/19,ambient,28.44444444,29.23333333,27.76666667,1,0.444444444,,,0.110912698,0,0
6/16/19,ambient,28.09479167,28.63333333,27.66666667,2,0.094791667,,,0.124454365,0,0
6/17/19,ambient,28.25625,28.96666667,27.56666667,3,0.25625,,,0.161061508,0,0
6/18/19,ambient,28.41944444,29.03333333,27.86666667,4,0.419444444,,,0.220982143,0,0
6/19/19,ambient,28.17465278,28.6,27.7,5,0.174652778,,,0.24593254,0,0
6/20/19,ambient,27.87881944,28.6,27.23333333,6,-0.121180556,,,0.228621032,0,0
6/21/19,ambient,27.87361111,28.6,27.36666667,7,-0.126388889,,,0.210565476,0,0
6/22/19,ambient,27.87291667,28.7,27.23333333,8,-0.127083333,,,0.192410714,0,0
6/23/19,ambient,28.01736111,28.6,27.63333333,9,0.017361111,,,0.194890873,0,0
6/24/19,ambient,27.99618056,28.63333333,27.7,10,-0.003819444,,,0.194345238,0,0
6/25/19,ambient,28.13958333,28.6,27.9,11,0.139583333,,,0.214285714,0,0
6/26/19,ambient,27.95208333,28.63333333,27.43333333,12,-0.047916667,,,0.207440476,0,0
6/27/19,ambient,28.48715278,29.73333333,27.16666667,13,0.487152778,,,0.27703373,0,0
6/28/19,ambient,28.63263889,29.63333333,27.73333333,14,0.632638889,,0.367410714,0.367410714,0,0
6/29/19,ambient,27.93993056,28.66666667,27.56666667,15,-0.060069444,,,0.358829365,0,0
6/30/19,ambient,27.96542659,28.96666667,27.26666667,16,-0.034573413,,,0.353890306,0,0
7/1/19,ambient,27.93888889,28.56666667,27.5,17,-0.061111111,,,0.345160147,0,0
7/2/19,ambient,28.20138889,28.63333333,27.93333333,18,0.201388889,,,0.373929989,0,0
7/3/19,ambient,28.10555556,28.7,27.66666667,19,0.105555556,,,0.389009354,0,0
7/4/19,ambient,28.15555556,28.6,27.96666667,20,0.155555556,,,0.411231576,0,0
7/5/19,ambient,28.14479167,28.76666667,27.73333333,21,0.144791667,,,0.4319161,0,0
7/6/19,ambient,28.41805556,29.13333333,27.86666667,22,0.418055556,,,0.491638322,0,0
7/7/19,ambient,28.26111111,28.7,28.03333333,23,0.261111111,,,0.528939909,0,0
7/8/19,ambient,28.09965278,28.6,27.73333333,24,0.099652778,,,0.543176021,0,0
7/9/19,ambient,28.40763889,29,27.93333333,25,0.407638889,,,0.601410148,0,0
7/10/19,ambient,28.56979167,29.16666667,28.2,26,0.569791667,,,0.682808957,0,0
7/11/19,ambient,28.62048611,29.06666667,28.33333333,27,0.620486111,,,0.77144983,0,0
7/12/19,ambient,28.58368056,29.1,28.2,28,0.583680556,,,0.854832767,0,0
7/13/19,ambient,28.51423611,29.03333333,28.06666667,29,0.514236111,,,0.928295068,0,0
7/14/19,ambient,28.37881944,28.76666667,28.1,30,0.378819444,,,0.982412132,0,0
7/15/19,ambient,28.36006944,28.96666667,27.86666667,31,0.360069444,,,1.033850624,0,0
7/16/19,ambient,28.39444444,28.8,27.96666667,32,0.394444444,,,1.09019983,0,0
7/17/19,ambient,28.20833333,28.5,27.63333333,33,0.208333333,,,1.119961735,0,0
7/18/19,ambient,28.09409722,28.63333333,27.73333333,34,0.094097222,,,1.133404195,0,0
7/19/19,ambient,28.04375,28.63333333,27.76666667,35,0.04375,,,1.139654195,0,0
7/20/19,ambient,28.08159722,28.63333333,27.8,36,0.081597222,,,1.151310941,0,0
7/21/19,ambient,28.04861111,28.63333333,27.7,37,0.048611111,,,1.158255385,0,0
7/22/19,ambient,27.99965278,28.6,27.7,38,-0.000347222,,,1.158205782,0,0
7/23/19,ambient,27.95798611,28.63333333,27.6,39,-0.042013889,1.152203798,,1.152203798,0,0
7/24/19,ambient,28.01284722,28.6,27.66666667,40,0.012847222,,,1.154039116,0,0
7/25/19,ambient,28.02430556,28.6,27.7,41,0.024305556,,,1.157511338,0,0
7/26/19,ambient,28.0125,28.56666667,27.7,42,0.0125,,,1.159297052,0,0
7/27/19,ambient,28.00694444,28.5,27.7,43,0.006944444,,,1.160289116,0,0
7/28/19,ambient,28.015625,28.66666667,27.7,44,0.015625,,,1.162521258,0,0
7/29/19,ambient,28.01736111,28.7,27.6,45,0.017361111,,,1.165001417,0,0
7/30/19,ambient,28.11493056,28.63333333,27.76666667,46,0.114930556,,,1.181420068,0,0
7/31/19,ambient,28.04741784,28.73333333,27.73333333,47,0.04741784,,,1.188194045,0,0